Date,PS3 player count
7/16/2018,1298100
7/17/2018,1298800
7/18/2018,1299100
7/19/2018,1299300
7/20/2018,1299700
7/21/2018,1300000
7/22/2018,1300300
7/23/2018,1300600
7/24/2018,1300900
7/25/2018,1301200
7/26/2018,1301400
7/27/2018,1301600
7/28/2018,1301800
7/29/2018,1302400
7/30/2018,1302800
7/31/2018,1303100
8/1/2018,1303400
8/2/2018,1303800
8/3/2018,1304000
8/4/2018,1304400
8/5/2018,1305000
8/6/2018,1305300
8/7/2018,1305800
8/8/2018,1306000
8/9/2018,1306300
8/10/2018,1306800
8/11/2018,1307300
8/12/2018,1307400
8/13/2018,1307900
8/14/2018,1308200
8/15/2018,1308500
8/16/2018,1308800
8/17/2018,1309000
8/18/2018,1309300
8/19/2018,1309600
8/20/2018,1310100
8/21/2018,1310300
8/22/2018,1310700
8/23/2018,1310900
8/24/2018,1311300
8/25/2018,1311500
8/26/2018,1311800
8/27/2018,1312100
8/28/2018,1312300
8/29/2018,1312700
8/30/2018,1313100
8/31/2018,1313400
9/1/2018,1313700
9/2/2018,1314000
9/3/2018,1314400
9/4/2018,1314600
9/5/2018,1314900
9/6/2018,1315100
9/7/2018,1315400
9/8/2018,1315800
9/9/2018,1316000
9/10/2018,1316200
9/11/2018,1316300
9/12/2018,1316400
9/13/2018,1316500
9/14/2018,1316800
9/15/2018,1317300
9/16/2018,1317600
9/17/2018,1317800
9/18/2018,1318000
9/19/2018,1318000
9/20/2018,1318200
9/21/2018,1318500
9/22/2018,1318900
9/23/2018,1319100
9/24/2018,1319300
9/25/2018,1319700
9/26/2018,1319900
9/27/2018,1320100
9/28/2018,1320300
9/29/2018,1320500
9/30/2018,1320900
10/1/2018,1321200
10/2/2018,1321300
10/3/2018,1321500
10/4/2018,1321600
10/5/2018,1321900
10/6/2018,1322200
10/7/2018,1322600
10/8/2018,1322900
10/9/2018,1323100
10/10/2018,1323300
10/11/2018,1323500
10/12/2018,1323800
10/13/2018,1324000
10/14/2018,1324400
10/15/2018,1324700
10/16/2018,1325000
10/17/2018,1325200
10/18/2018,1325300
10/19/2018,1325600
10/20/2018,1326100
10/21/2018,1326700
10/22/2018,1326800
10/23/2018,1327000
10/24/2018,1327300
10/25/2018,1327500
10/26/2018,1327700
10/27/2018,1328100
10/28/2018,1328300
10/29/2018,1328400
10/30/2018,1328700
10/31/2018,1329000
11/1/2018,1329300
11/2/2018,1329400
11/3/2018,1329800
11/4/2018,1330100
11/5/2018,1330200
11/6/2018,1330400
11/7/2018,1330700
11/8/2018,1330700
11/9/2018,1331000
11/10/2018,1331600
11/11/2018,1331900
11/12/2018,1332300
11/13/2018,1332700
11/14/2018,1333000
11/15/2018,1333300
11/16/2018,1333400
11/17/2018,1333900
11/18/2018,1334400
11/19/2018,1334800
11/20/2018,1335100
11/21/2018,1335400
11/22/2018,1335900
11/23/2018,1336000
11/24/2018,1336400
11/25/2018,1336700
11/26/2018,1336900
11/27/2018,1337100
11/28/2018,1337300
11/29/2018,1337400
11/30/2018,1337400
12/1/2018,1337800
12/2/2018,1337900
12/3/2018,1338100
12/4/2018,1338300
12/5/2018,1338500
12/6/2018,1338800
12/7/2018,1339100
12/8/2018,1339500
12/9/2018,1339900
12/10/2018,1339900
12/11/2018,1340400
12/12/2018,1340600
12/13/2018,1340800
12/14/2018,1340900
12/15/2018,1341300
12/16/2018,1341500
12/17/2018,1341700
12/18/2018,1342100
12/19/2018,1342400
12/20/2018,1342600
12/21/2018,1343000
12/22/2018,1343400
12/23/2018,1343900
12/24/2018,1344300
12/25/2018,1345400
12/26/2018,1345900
12/27/2018,1346700
12/28/2018,1347200
12/29/2018,1347700
12/30/2018,1348000
12/31/2018,1348600
1/1/2019,1349300
1/2/2019,1349800
1/3/2019,1350500
1/4/2019,1351000
1/5/2019,1351500
1/6/2019,1352100
1/7/2019,1352400
1/8/2019,1352700
1/9/2019,1352900
1/10/2019,1353200
1/11/2019,1353400
1/12/2019,1353800
1/13/2019,1354200
1/14/2019,1354700
1/15/2019,1355000
1/16/2019,1355300
1/17/2019,1355600
1/18/2019,1355900
1/19/2019,1356100
1/20/2019,1356500
1/21/2019,1356700
1/22/2019,1356800
1/23/2019,1357000
1/24/2019,1357200
1/25/2019,1357400
1/26/2019,1357600
1/27/2019,1358200
1/28/2019,1358700
1/29/2019,1359000
1/30/2019,1359300
1/31/2019,1359400
2/1/2019,1360000
2/2/2019,1360300
